"age","ast","astp","blk","blkp","college","draft","draftrank","draftround","drb","drbp","drtg","dws","efgp","fgattempt","fgmade","fgp","ftattempt","ftmade","ftp","gamesplayed","gamesstarted","height","league","minutes","name","nbadebut","orb","orbp","org_team","ortg","ows","p3attempt","p3made","p3p","per","pf","position","position_org","pts","salary","season","source","stl","stlp","tm","tov","tovp","trb","trbp","tsp","usgp","weight","ws","ws48","key"
31,76,32.7000007629395,1,0.100000001490116,"lsu",1990,3,"1",20,4.69999980926514,111,0,0.495999991893768,246,120,0.488000005483627,29,22,0.75900000333786,41,0,"6-1","NBA",486,"Abdul-Rauf Mahmoud",1990,5,1.20000004768372,"VAN",104,0.699999988079071,14,4,0.28600001335144,16.7000007629395,50,"guard","Guard",266,798500,2000,"http://www.basketball-reference.com/players/a/abdulma02.html",9,1,"MEM",26,9.10000038146973,25,2.90000009536743,0.513999998569489,26.7999992370605,162,0.699999988079071,0.0700000002980232,"guard_2000"
25,72,9.69999980926514,16,0.899999976158142,"sanjosest",1997,11,"1",162,14.6000003814697,101,1.60000002384186,0.435000002384186,515,223,0.43299999833107,151,115,0.762000024318695,46,46,"6-6","NBA",1205,"Abdul-Wahad Tariq",1997,77,7,"ORL",98,0.400000005960464,21,2,0.0949999988079071,14.3999996185303,116,"forward","Forward",563,1594920,1999,"http://www.basketball-reference.com/players/a/abdulta01.html",53,2.20000004768372,"ORL",87,13,239,10.8000001907349,0.483999997377396,23.2999992370605,223,2,0.0820000022649765,"forward_1999"
25,26,11,12,2.20000004768372,"sanjosest",1997,11,"1",28,8.19999980926514,109,0.200000002980232,0.39300000667572,131,51,0.388999998569489,42,31,0.737999975681305,15,10,"6-6","NBA",373,"Abdul-Wahad Tariq",1997,24,6.90000009536743,"DEN",96,0,2,1,0.5,10.8000001907349,31,"forward","Forward",134,1594920,1999,"http://www.basketball-reference.com/players/a/abdulta01.html",6,0.800000011920929,"DEN",19,11.3000001907349,52,7.59999990463257,0.448000013828278,19.7000007629395,223,0.200000002980232,0.0230000000447035,"forward_1999"
26,22,8.10000038146973,13,2.09999990463257,"sanjosest",1997,11,"1",45,11.8000001907349,106,0.300000011920929,0.405000001192093,111,43,0.386999994516373,36,21,0.583000004291534,29,12,"6-6","NBA",420,"Abdul-Wahad Tariq",1997,14,3.59999990463257,"DEN",79,-0.699999988079071,10,4,0.400000005960464,5.80000019073486,54,"forward","Forward",111,4500000,2000,"http://www.basketball-reference.com/players/a/abdulta01.html",14,1.70000004768372,"DEN",34,21.1000003814697,59,7.59999990463257,0.437999993562698,17.1000003814697,223,-0.400000005960464,-0.0489999987185001,"forward_2000"
27,22,8.69999980926514,9,1.60000002384186,"sanjosest",1997,11,"1",39,11.1999998092651,108,0.300000011920929,0.382999986410141,145,55,0.379000008106232,32,24,0.75,20,12,"6-6","NBA",417,"Abdul-Wahad Tariq",1997,39,10.1999998092651,"DEN",92,-0.200000002980232,2,1,0.5,10.3000001907349,51,"forward","Forward",135,5062500,2001,"http://www.basketball-reference.com/players/a/abdulta01.html",18,2.29999995231628,"DEN",24,13.1000003814697,78,10.6999998092651,0.42399999499321,19.7000007629395,223,0,0.00499999988824129,"forward_2001"
27,2,10.3999996185303,1,3,"sanjosest",1997,11,"1",4,18.2000007629395,99,0,0,2,0,0,1,0,0,4,0,"6-6","NBA",24,"Abdul-Wahad Tariq",1997,2,9.39999961853027,"DAL",41,-0.100000001490116,0,0,NA,0.300000011920929,5,"forward","Forward",0,5062500,2001,"http://www.basketball-reference.com/players/a/abdulta01.html",2,4.30000019073486,"DAL",3,55.0999984741211,6,13.8999996185303,0,10.1999998092651,223,-0.100000001490116,-0.128000006079674,"forward_2001"
28,21,15.3999996185303,3,1.10000002384186,"sanjosest",1997,11,"1",26,14,103,0.200000002980232,0.465999990701675,58,27,0.465999990701675,6,3,0.5,14,0,"6-6","NBA",204,"Abdul-Wahad Tariq",1997,14,7.59999990463257,"DAL",106,0.200000002980232,1,0,0,12.3999996185303,26,"forward","Forward",57,5625000,2002,"http://www.basketball-reference.com/players/a/abdulta01.html",6,1.5,"DAL",7,10.3000001907349,40,10.8000001907349,0.469999998807907,15,223,0.400000005960464,0.104000002145767,"forward_2002"
23,271,15.5,87,1.89999997615814,"california",1996,3,"1",607,22.7000007629395,106,2.59999990463257,0.476999998092651,1277,594,0.465000003576279,551,446,0.809000015258789,82,82,"6-9","NBA",3223,"Abdur-Rahim Shareef",1996,218,8,"VAN",108,6.19999980926514,96,29,0.301999986171722,20.2000007629395,244,"forward","Forward",1663,9000000,1999,"http://www.basketball-reference.com/players/a/abdursh01.html",89,1.5,"MEM",249,14.1000003814697,825,15.3000001907349,0.546999990940094,25,225,8.80000019073486,0.131999999284744,"forward_1999"
24,250,14.3000001907349,77,1.60000002384186,"california",1996,3,"1",560,19.6000003814697,104,2.90000009536743,0.476999998092651,1280,604,0.472000002861023,531,443,0.833999991416931,81,81,"6-9","NBA",3241,"Abdur-Rahim Shareef",1996,175,6.19999980926514,"VAN",106,5.59999990463257,64,12,0.187999993562698,19.1000003814697,238,"forward","Forward",1663,10130000,2000,"http://www.basketball-reference.com/players/a/abdursh01.html",90,1.5,"MEM",231,13.1999998092651,735,13,0.549000024795532,24.6000003814697,225,8.5,0.126000002026558,"forward_2000"
25,239,15.1000003814697,81,2,"california",1996,3,"1",498,19.2000007629395,105,3.09999990463257,0.46900001168251,1297,598,0.460999995470047,523,419,0.800999999046326,77,77,"6-9","NBA",2980,"Abdur-Rahim Shareef",1996,198,7.59999990463257,"ATL",105,4.09999990463257,70,21,0.300000011920929,19.7999992370605,214,"forward","Forward",1636,11250000,2001,"http://www.basketball-reference.com/players/a/abdursh01.html",98,1.70000004768372,"ATL",250,14.1000003814697,696,13.3000001907349,0.53600001335144,27,225,7.19999980926514,0.11599999666214,"forward_2001"
26,242,14.6999998092651,38,0.899999976158142,"california",1996,3,"1",502,17.7999992370605,106,2.29999995231628,0.486999988555908,1183,566,0.477999985218048,541,455,0.841000020503998,81,81,"6-9","NBA",3087,"Abdur-Rahim Shareef",1996,175,6.69999980926514,"ATL",111,7.40000009536743,60,21,0.349999994039536,19.8999996185303,240,"forward","Forward",1608,12375000,2002,"http://www.basketball-reference.com/players/a/abdursh01.html",87,1.5,"ATL",212,13,677,12.5,0.565999984741211,24.2000007629395,225,9.69999980926514,0.150999993085861,"forward_2002"
27,127,12.6000003814697,19,0.699999988079071,"california",1996,3,"1",354,20.2999992370605,106,1.29999995231628,0.488000005483627,790,383,0.485000014305115,334,294,0.879999995231628,53,53,"6-9","NBA",1956,"Abdur-Rahim Shareef",1996,141,8.19999980926514,"ATL",112,5.30000019073486,23,5,0.216999992728233,21.2000007629395,147,"forward","Forward",1065,13500000,2003,"http://www.basketball-reference.com/players/a/abdursh01.html",44,1.20000004768372,"ATL",131,12.3000001907349,495,14.3000001907349,0.568000018596649,24.7999992370605,225,6.59999990463257,0.163000002503395,"forward_2003"
27,47,11.5,18,1.79999995231628,"california",1996,3,"1",96,15.5,104,0.600000023841858,0.455000013113022,264,118,0.446999996900558,95,79,0.832000017166138,32,3,"6-9","NBA",728,"Abdur-Rahim Shareef",1996,48,7.90000009536743,"POR",103,0.899999976158142,11,4,0.363999992609024,16.5,75,"forward","Forward",319,13500000,2003,"http://www.basketball-reference.com/players/a/abdursh01.html",24,1.79999995231628,"POR",53,14.8000001907349,144,11.8000001907349,0.522000014781952,23.2999992370605,225,1.5,0.0979999974370003,"forward_2003"
28,111,10.6999998092651,26,1,"california",1996,3,"1",269,16,108,1.5,0.513999998569489,670,337,0.503000020980835,254,220,0.86599999666214,54,49,"6-9","NBA",1867,"Abdur-Rahim Shareef",1996,123,7.90000009536743,"POR",113,3.90000009536743,39,15,0.384999990463257,18.7000007629395,150,"forward","Forward",909,14625000,2004,"http://www.basketball-reference.com/players/a/abdursh01.html",49,1.39999997615814,"POR",117,13,392,12.1000003814697,0.580999970436096,22.1000003814697,225,5.40000009536743,0.138999998569489,"forward_2004"
29,149,13.1999998092651,42,1.60000002384186,"california",1996,3,"1",251,14.8000001907349,105,2.20000004768372,0.528999984264374,632,332,0.524999976158142,278,218,0.783999979496002,72,30,"6-9","NBA",1961,"Abdur-Rahim Shareef",1996,106,6.40000009536743,"SAC",115,4,22,5,0.226999998092651,17.2000007629395,227,"forward","Forward",887,5000000,2005,"http://www.basketball-reference.com/players/a/abdursh01.html",48,1.29999995231628,"SAC",108,12.5,357,10.6000003814697,0.587999999523163,20.1000003814697,225,6.19999980926514,0.151999995112419,"forward_2005"
30,109,9.19999980926514,40,1.5,"california",1996,3,"1",276,16.3999996185303,108,1.70000004768372,0.476000010967255,654,310,0.474000006914139,234,170,0.726000010967255,80,45,"6-9","NBA",2015,"Abdur-Rahim Shareef",1996,122,7,"SAC",103,1.10000002384186,20,3,0.150000005960464,13.1000003814697,243,"forward","Forward",793,5400000,2006,"http://www.basketball-reference.com/players/a/abdursh01.html",53,1.29999995231628,"SAC",116,13.3000001907349,398,11.6000003814697,0.523999989032745,19.5,225,2.79999995231628,0.0670000016689301,"forward_2006"
31,4,11.1000003814697,0,0,"california",1996,3,"1",4,9.10000038146973,114,0,0.214000001549721,14,3,0.214000001549721,4,4,1,6,0,"6-9","NBA",51,"Abdur-Rahim Shareef",1996,6,14.1999998092651,"SAC",95,0,0,0,NA,5.5,9,"forward","Forward",10,5800000,2007,"http://www.basketball-reference.com/players/a/abdursh01.html",1,1,"SAC",1,6,10,11.6000003814697,0.31700000166893,14.6999998092651,225,0,-0.00499999988824129,"forward_2007"
