DATE,DEXUSEU
1/1/2013,1.3186
2/1/2013,1.3195
3/1/2013,1.311
4/1/2013,1.3047
7/1/2013,1.3099
8/1/2013,1.3068
9/1/2013,1.3078
10/1/2013,1.322
11/1/2013,1.3353
14/01/2013,1.3369
15/01/2013,1.3342
16/01/2013,1.3305
17/01/2013,1.3356
18/01/2013,1.3303
21/01/2013,1.3303
22/01/2013,1.3304
23/01/2013,1.3308
24/01/2013,1.3378
25/01/2013,1.3456
28/01/2013,1.3459
29/01/2013,1.3484
30/01/2013,1.3564
31/01/2013,1.3584
1/2/2013,1.3692
4/2/2013,1.3527
5/2/2013,1.3569
6/2/2013,1.3528
7/2/2013,1.3382
8/2/2013,1.3366
11/2/2013,1.3414
12/2/2013,1.345
13/02/2013,1.3448
14/02/2013,1.3334
15/02/2013,1.3362
18/02/2013,1.3362
19/02/2013,1.3387
20/02/2013,1.335
21/02/2013,1.3204
22/02/2013,1.3166
25/02/2013,1.3172
26/02/2013,1.3054
27/02/2013,1.3104
28/02/2013,1.3079
1/3/2013,1.2988
4/3/2013,1.2996
5/3/2013,1.3019
6/3/2013,1.299
7/3/2013,1.3098
8/3/2013,1.2992
11/3/2013,1.3014
12/3/2013,1.3023
13/03/2013,1.2949
14/03/2013,1.2974
15/03/2013,1.3076
18/03/2013,1.2956
19/03/2013,1.2888
20/03/2013,1.295
21/03/2013,1.2928
22/03/2013,1.2996
25/03/2013,1.2881
26/03/2013,1.2858
27/03/2013,1.2782
28/03/2013,1.2842
29/03/2013,1.2816
1/4/2013,1.2857
2/4/2013,1.2836
3/4/2013,1.2847
4/4/2013,1.2854
5/4/2013,1.3027
8/4/2013,1.3008
9/4/2013,1.3092
10/4/2013,1.306
11/4/2013,1.3124
12/4/2013,1.3094
15/04/2013,1.3082
16/04/2013,1.3141
17/04/2013,1.3049
18/04/2013,1.3072
19/04/2013,1.3066
22/04/2013,1.305
23/04/2013,1.3012
24/04/2013,1.2997
25/04/2013,1.3004
26/04/2013,1.3024
29/04/2013,1.309
30/04/2013,1.3168
1/5/2013,1.3192
2/5/2013,1.3066
3/5/2013,1.3112
6/5/2013,1.3067
7/5/2013,1.3085
8/5/2013,1.3177
9/5/2013,1.3105
