"datetime","season","holiday","workingday","weather","temp","casual","registered","count"
"2011-01-01 00:00:00",1,0,0,1,9.84,3,13,16
"2011-01-01 01:00:00",1,0,0,1,9.02,8,32,40
"2011-01-01 02:00:00",1,0,0,1,9.02,5,27,32
"2011-01-01 03:00:00",1,0,0,1,9.84,3,10,13
"2011-01-01 04:00:00",1,0,0,1,9.84,0,1,1
"2011-01-01 05:00:00",1,0,0,2,9.84,0,1,1
"2011-01-01 06:00:00",1,0,0,1,9.02,2,0,2
"2011-01-01 07:00:00",1,0,0,1,8.2,1,2,3
"2011-01-01 08:00:00",1,0,0,1,9.84,1,7,8
"2011-01-01 09:00:00",1,0,0,1,13.12,8,6,14
"2011-01-01 10:00:00",1,0,0,1,15.58,12,24,36
"2011-01-01 11:00:00",1,0,0,1,14.76,26,30,56
"2011-01-01 12:00:00",1,0,0,1,17.22,29,55,84
"2011-01-01 13:00:00",1,0,0,2,18.86,47,47,94
"2011-01-01 14:00:00",1,0,0,2,18.86,35,71,106
"2011-01-01 15:00:00",1,0,0,2,18.04,40,70,110
"2011-01-01 16:00:00",1,0,0,2,17.22,41,52,93
"2011-01-01 17:00:00",1,0,0,2,18.04,15,52,67
"2011-01-01 18:00:00",1,0,0,3,17.22,9,26,35
"2011-01-01 19:00:00",1,0,0,3,17.22,6,31,37
"2011-01-01 20:00:00",1,0,0,2,16.4,11,25,36
"2011-01-01 21:00:00",1,0,0,2,16.4,3,31,34
"2011-01-01 22:00:00",1,0,0,2,16.4,11,17,28
"2011-01-01 23:00:00",1,0,0,2,18.86,15,24,39
"2011-01-02 00:00:00",1,0,0,2,18.86,4,13,17
"2011-01-02 01:00:00",1,0,0,2,18.04,1,16,17
"2011-01-02 02:00:00",1,0,0,2,17.22,1,8,9
"2011-01-02 03:00:00",1,0,0,2,18.86,2,4,6
"2011-01-02 04:00:00",1,0,0,2,18.86,2,1,3
"2011-01-02 06:00:00",1,0,0,3,17.22,0,2,2
"2011-01-02 07:00:00",1,0,0,2,16.4,0,1,1
"2011-01-02 08:00:00",1,0,0,3,16.4,0,8,8
"2011-01-02 09:00:00",1,0,0,2,15.58,1,19,20
"2011-01-02 10:00:00",1,0,0,2,14.76,7,46,53
"2011-01-02 11:00:00",1,0,0,2,14.76,16,54,70
"2011-01-02 12:00:00",1,0,0,2,14.76,20,73,93
"2011-01-02 13:00:00",1,0,0,2,14.76,11,64,75
"2011-01-02 14:00:00",1,0,0,3,14.76,4,55,59
"2011-01-02 15:00:00",1,0,0,3,13.94,19,55,74
"2011-01-02 16:00:00",1,0,0,3,13.94,9,67,76
"2011-01-02 17:00:00",1,0,0,1,13.94,7,58,65
"2011-01-02 18:00:00",1,0,0,2,14.76,10,43,53
"2011-01-02 19:00:00",1,0,0,1,13.12,1,29,30
"2011-01-02 20:00:00",1,0,0,1,12.3,5,17,22
"2011-01-02 21:00:00",1,0,0,1,10.66,11,20,31
"2011-01-02 22:00:00",1,0,0,1,9.84,0,9,9
"2011-01-02 23:00:00",1,0,0,1,9.02,0,8,8
"2011-01-03 00:00:00",1,0,1,1,9.02,0,5,5
"2011-01-03 01:00:00",1,0,1,1,8.2,0,2,2
"2011-01-03 04:00:00",1,0,1,1,6.56,0,1,1
"2011-01-03 05:00:00",1,0,1,1,6.56,0,3,3
"2011-01-03 06:00:00",1,0,1,1,5.74,0,30,30
"2011-01-03 07:00:00",1,0,1,1,5.74,1,63,64
"2011-01-03 08:00:00",1,0,1,1,5.74,1,153,154
