party,Locality_name,Locality_symbol,Can_vote,voters,Proper_votes,number_of_votes,hebrew_party_name,english_party_name,year
other,אבו ג'ווייעד (שבט),967,NA,103,100,10,other,other,2006
other,נחושה,59,NA,116,116,11,other,other,2006
other,רמת השרון,2650,NA,21994,21782,1349,other,other,2006
other,מעיליא,518,NA,1489,1467,20,other,other,2006
other,לימן,674,NA,278,275,21,other,other,2006
other,כפר גלים,427,NA,59,59,8,other,other,2006
other,רמות מאיר,735,NA,277,272,14,other,other,2006
other,יאנוח-ג'ת,1295,NA,1835,1824,57,other,other,2006
other,הר גילה,3603,NA,229,227,22,other,other,2006
other,גדרה,2550,NA,6207,6148,505,other,other,2006
other,ריחאנייה,540,NA,469,460,5,other,other,2006
other,בית רבן,848,NA,131,130,7,other,other,2006
other,אלקוש,603,NA,155,154,3,other,other,2006
other,אבו גוש,472,NA,1693,1591,35,other,other,2006
other,נחל עוז,844,NA,172,172,8,other,other,2006
other,רמת יוחנן,178,NA,421,418,32,other,other,2006
other,מעלה אדומים,3616,NA,12919,12759,712,other,other,2006
other,לכיש,24,NA,304,303,11,other,other,2006
other,כפר גליקסון,310,NA,183,182,6,other,other,2006
other,רמות מנשה,445,NA,342,342,27,other,other,2006
other,יבול,1232,NA,177,175,16,other,other,2006
other,הראל,464,NA,69,69,1,other,other,2006
other,גונן,852,NA,186,184,19,other,other,2006
other,ריחן,3568,NA,60,59,5,other,other,2006
other,בית רימון,1162,NA,122,122,11,other,other,2006
other,אלקנה,3560,NA,1799,1795,105,other,other,2006
other,אבו סנאן,473,NA,4751,4645,69,other,other,2006
other,נחלה,2045,NA,203,203,5,other,other,2006
other,רמת ישי,122,NA,2686,2657,211,other,other,2006
other,מעלה אפרים,3608,NA,582,572,51,other,other,2006
other,לפיד,1310,NA,888,882,47,other,other,2006
other,כפר גלעדי,76,NA,337,335,33,other,other,2006
other,רמות נפתלי,372,NA,287,285,22,other,other,2006
other,יבנאל,46,NA,1262,1247,76,other,other,2006
other,הרדוף,1249,NA,178,178,17,other,other,2006
other,גורן,755,NA,242,238,4,other,other,2006
other,ריינה,542,NA,3933,3824,48,other,other,2006
other,בית שאן,9200,NA,6663,6572,204,other,other,2006
other,אמונים,772,NA,396,395,21,other,other,2006
other,אבו קורינאת (שבט),968,NA,554,539,7,other,other,2006
other,נחליאל,3767,NA,95,95,35,other,other,2006
other,רמת מגשימים,4701,NA,301,300,17,other,other,2006
other,מעלה גלבוע,1127,NA,157,155,36,other,other,2006
other,לפידות,1173,NA,87,87,3,other,other,2006
other,כפר דניאל,707,NA,151,149,13,other,other,2006
other,רמלה,8500,NA,24685,24047,1061,other,other,2006
other,יבנה,2660,NA,14756,14561,966,other,other,2006
other,הרצלייה,6400,NA,47119,46552,3046,other,other,2006
other,גורנות הגליל,1219,NA,94,94,3,other,other,2006
other,רימונים,3565,NA,265,261,21,other,other,2006
other,בית שמש,2610,NA,21965,21669,1332,other,other,2006
other,אמירים,1064,NA,257,255,34,other,other,2006
other,אבו רובייעה (שבט),966,NA,460,442,27,other,other,2006
other,נחלים,449,NA,634,631,34,other,other,2006
other,רמת פנקס,883,NA,295,291,10,other,other,2006
other,מעלה גמלא,4008,NA,172,169,32,other,other,2006
other,לקיה,1060,NA,2402,2340,31,other,other,2006
other,כפר האורנים,3796,NA,776,775,56,other,other,2006
other,רמת אפעל,1049,NA,1861,1846,85,other,other,2006
other,יגור,96,NA,805,800,58,other,other,2006
other,הררית,1203,NA,115,113,13,other,other,2006
other,גזית,457,NA,422,420,17,other,other,2006
other,רינתיה,616,NA,386,383,34,other,other,2006
other,בית שערים,248,NA,346,345,29,other,other,2006
other,אמנון,1253,NA,128,127,2,other,other,2006
other,אבו רוקייק (שבט),961,NA,801,782,30,other,other,2006
other,נחם,809,NA,233,227,8,other,other,2006
other,רמת צבי,339,NA,230,228,19,other,other,2006
other,מעלה החמישה,286,NA,220,218,17,other,other,2006
other,מאור,2055,NA,369,366,36,other,other,2006
other,כפר החורש,192,NA,277,272,19,other,other,2006
other,רמת גן,8600,NA,70992,70088,4119,other,other,2006
other,יגל,798,NA,307,305,11,other,other,2006
other,ורד יריחו,3639,NA,93,93,15,other,other,2006
other,גזר,370,NA,142,141,19,other,other,2006
other,רכסים,922,NA,3299,3267,58,other,other,2006
other,בית שקמה,747,NA,227,225,7,other,other,2006
other,אמציה,23,NA,76,76,5,other,other,2006
other,אבטין,652,NA,640,620,4,other,other,2006
other,נחף,522,NA,3218,3176,26,other,other,2006
other,רמת רזיאל,460,NA,219,216,16,other,other,2006
other,מעלה לבונה,3752,NA,224,224,38,other,other,2006
other,מאיר שפיה,102,NA,39,39,6,other,other,2006
other,כפר המכבי,254,NA,175,173,9,other,other,2006
