"userid","age","dob_day","dob_year","dob_month","gender","tenure","friend_count","friendships_initiated","likes","likes_received","mobile_likes","mobile_likes_received","www_likes","www_likes_received"
1000013,19,25,1994,9,"female",652,410,246,0,0,0,0,0,0
1000038,25,17,1988,1,"female",62,685,498,4293,2816,1537,548,2756,2268
1000068,28,26,1985,11,"female",464,68,43,37,39,37,25,0,14
1000103,29,24,1984,3,"female",1435,124,42,46,60,43,49,3,11
1000125,21,26,1992,10,"male",511,143,59,15,16,15,15,0,1
1000136,21,10,1992,12,"female",603,236,107,80,97,63,41,17,56
1000150,36,2,1977,7,"female",191,25,4,173,5,171,4,2,1
1000154,24,23,1989,10,"male",1440,830,591,75,640,45,239,30,401
1000173,20,11,1993,5,"male",421,553,438,8,10,1,0,7,10
1000198,46,12,1967,1,"female",75,93,69,155,232,155,38,0,194
1000288,18,21,1995,2,"male",184,174,134,2,1,2,0,0,1
1000297,71,2,1942,5,"female",218,36,34,1212,31,1212,24,0,7
1000301,23,10,1990,10,"female",206,105,58,42,31,36,17,6,14
1000315,22,2,1991,8,"male",73,100,66,3,12,0,1,3,11
1000323,19,29,1994,11,"male",81,38,17,1,0,1,0,0,0
1000341,23,28,1990,1,"male",900,224,137,1,1,0,1,1,0
1000403,48,22,1965,6,"male",318,50,38,0,1,0,1,0,0
1000406,62,11,1951,12,"male",559,97,32,103,139,63,94,40,45
1000407,23,3,1990,12,"male",374,184,169,18,8,18,5,0,3
1000440,33,27,1980,10,"male",317,46,23,61,20,61,18,0,2
1000443,17,19,1996,2,"male",195,6,3,7,22,2,21,5,1
1000454,35,13,1978,8,"female",944,112,51,13,16,13,16,0,0
1000455,14,1,1999,6,"male",237,66,27,18,4,18,4,0,0
1000489,19,15,1994,5,"female",246,3,2,87,14,10,3,77,11
1000498,17,8,1996,8,"female",603,246,77,84,115,84,104,0,11
1000510,28,17,1985,4,"female",378,14,4,0,0,0,0,0,0
1000529,28,1,1985,1,"male",130,69,63,0,0,0,0,0,0
1000530,59,15,1954,9,"female",93,101,58,208,173,208,88,0,85
1000541,20,28,1993,2,"female",636,23,9,9,1,2,1,7,0
1000602,51,9,1962,10,"female",248,19,9,28,1,28,1,0,0
1000605,19,7,1994,5,"female",277,330,87,473,388,472,247,1,141
1000620,18,1,1995,5,"female",554,413,180,269,269,233,95,36,174
1000660,49,22,1964,7,"female",1545,106,41,487,281,487,169,0,112
1000682,18,6,1995,3,"male",779,483,402,4,2,4,1,0,1
1000693,32,18,1981,3,"male",131,52,43,0,1,0,1,0,0
1000707,49,14,1964,6,"male",174,88,64,44,25,44,11,0,14
1000714,35,3,1978,7,"female",279,25,20,0,44,0,4,0,40
1000724,17,1,1996,1,"female",158,18,14,9,12,8,6,1,6
1000730,31,8,1982,1,"male",542,19,18,0,0,0,0,0,0
1000733,46,1,1967,1,"male",466,39,33,212,189,149,147,63,42
1000737,42,28,1971,6,"male",55,0,0,0,0,0,0,0,0
1000738,55,12,1958,7,"male",1313,25,17,0,1,0,1,0,0
1000756,16,1,1997,6,"male",480,421,151,0,0,0,0,0,0
1000764,41,25,1972,12,"male",278,51,37,82,41,82,37,0,4
1000768,18,24,1995,2,"male",233,1030,715,458,1914,424,1185,34,729
1000786,31,17,1982,1,"male",359,37,21,84,14,84,13,0,1
1000798,32,4,1981,12,"female",144,26,16,11,17,11,14,0,3
1000799,15,3,1998,1,"female",101,11,8,0,0,0,0,0,0
1000813,33,25,1980,10,"male",587,12,6,4,0,2,0,2,0
1000824,15,26,1998,9,"female",261,897,580,14,32,14,32,0,0
1000867,33,12,1980,3,"male",586,28,22,1,0,1,0,0,0
1000883,25,1,1988,1,"male",149,21,6,2,0,2,0,0,0
1000905,20,4,1993,3,"female",544,165,119,422,121,88,66,334,55
1000920,68,29,1945,7,"female",1869,73,20,6,8,4,2,2,6
1000922,18,21,1995,8,"male",1253,776,569,340,672,28,251,312,421
1000936,50,19,1963,2,"female",527,42,36,0,0,0,0,0,0
1000941,60,24,1953,8,"female",1729,233,180,3631,563,3501,183,130,380
1000954,18,27,1995,2,"male",365,52,38,23,2,10,0,13,2
1000957,20,16,1993,5,"female",21,69,62,139,162,137,124,2,38
1000976,19,1,1994,1,"male",253,57,19,0,7,0,7,0,0
1000985,50,19,1963,8,"male",612,73,43,41,25,41,14,0,11
1001014,27,3,1986,4,"male",249,19,2,30,22,30,22,0,0
1001050,50,22,1963,9,"female",1240,160,78,4,27,3,25,1,2
1001056,54,14,1959,2,"female",253,58,39,38,31,38,18,0,13
1001075,103,4,1910,6,"female",1681,201,76,253,185,248,122,5,63
1001085,17,16,1996,8,"male",526,265,183,0,0,0,0,0,0
1001146,58,6,1955,6,"female",1755,301,159,634,363,483,136,151,227
1001153,20,20,1993,3,"female",339,225,137,46,42,46,20,0,22
1001196,66,9,1947,6,"female",281,17,14,29,1,29,1,0,0
