"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
1,"a","c",8940,NA,NA,1,9,2011,"Jan,Apr,Jul,Oct"
2,"d","a",2110,11,1995,1,40,2014,"Jan,Apr,Jul,Oct"
3,"b","a",1870,10,2011,0,NA,NA,""
4,"d","c",7170,8,2014,1,5,2013,"Feb,May,Aug,Nov"
5,"d","a",8650,7,2013,1,10,2014,"Jan,Apr,Jul,Oct"
6,"a","c",5460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
7,"d","a",18610,NA,NA,0,NA,NA,""
8,"a","c",1070,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
9,"a","a",20640,9,2007,0,NA,NA,""
10,"d","c",12870,10,2008,0,NA,NA,""
11,"c","a",200,7,1998,1,1,2012,"Jan,Apr,Jul,Oct"
12,"a","a",140,9,2005,0,NA,NA,""
13,"d","c",1860,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
14,"a","a",650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
15,"d","c",1150,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
16,"a","a",200,NA,NA,0,NA,NA,""
17,"d","a",450,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
18,"a","a",36410,4,2008,0,NA,NA,""
19,"d","c",21810,9,2012,0,NA,NA,""
20,"d","c",1920,4,2005,0,NA,NA,""
21,"a","a",7680,3,2006,0,NA,NA,""
22,"d","c",8400,4,2012,1,5,2013,"Feb,May,Aug,Nov"
23,"d","a",10170,11,2001,0,NA,NA,""
24,"d","a",1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
25,"a","c",360,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
26,"d","c",32330,3,2014,0,NA,NA,""
27,"c","c",490,5,2007,1,13,2010,"Jan,Apr,Jul,Oct"
28,"a","a",1890,NA,NA,0,NA,NA,""
29,"a","c",9260,2,2010,0,NA,NA,""
30,"a","a",40,8,2001,0,NA,NA,""
31,"a","a",18660,9,2002,0,NA,NA,""
32,"a","a",1070,9,2009,0,NA,NA,""
33,"a","a",20390,NA,NA,0,NA,NA,""
34,"a","c",350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
35,"a","c",NA,NA,NA,0,NA,NA,""
36,"c","c",45740,8,2008,0,NA,NA,""
37,"a","a",4580,NA,NA,1,14,2015,"Jan,Apr,Jul,Oct"
38,"a","c",100,6,2010,1,18,2010,"Feb,May,Aug,Nov"
39,"a","a",2090,12,2008,0,NA,NA,""
40,"a","c",1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
41,"a","a",2290,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
42,"c","a",900,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
43,"a","a",4180,NA,NA,0,NA,NA,""
44,"a","c",120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
45,"a","c",720,10,2014,0,NA,NA,""
46,"a","c",4030,NA,NA,0,NA,NA,""
47,"d","c",1860,5,2015,0,NA,NA,""
48,"a","a",180,11,2006,0,NA,NA,""
49,"a","a",40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
50,"a","a",250,9,2009,0,NA,NA,""
51,"d","c",8540,NA,NA,0,NA,NA,""
52,"a","a",70,NA,NA,0,NA,NA,""
53,"a","a",3350,2,2010,0,NA,NA,""
54,"c","c",4840,NA,NA,0,NA,NA,""
55,"c","a",1080,12,2012,0,NA,NA,""
56,"a","a",800,6,2007,0,NA,NA,""
57,"d","a",510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
58,"a","a",2640,12,2005,1,31,2013,"Feb,May,Aug,Nov"
59,"a","c",9630,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
60,"a","a",1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
61,"a","c",5080,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
62,"d","c",13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
63,"a","c",350,11,2006,0,NA,NA,""
64,"a","a",5360,9,2012,1,40,2011,"Jan,Apr,Jul,Oct"
65,"d","c",6360,NA,NA,1,40,2012,"Mar,Jun,Sept,Dec"
66,"d","a",8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct"
67,"d","a",260,2,2012,1,14,2011,"Jan,Apr,Jul,Oct"
68,"a","c",1650,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
69,"a","c",90,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
70,"d","c",6910,4,2005,0,NA,NA,""
71,"c","c",4490,5,2014,1,5,2013,"Feb,May,Aug,Nov"
72,"b","c",1210,NA,NA,0,NA,NA,""
73,"d","a",3200,1,2008,1,22,2011,"Jan,Apr,Jul,Oct"
74,"a","a",50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
75,"a","c",13620,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
76,"d","c",1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
77,"a","c",1590,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
78,"a","a",4870,9,2007,1,45,2009,"Jan,Apr,Jul,Oct"
79,"a","a",2170,11,2008,0,NA,NA,""
80,"a","a",1060,5,2009,1,27,2011,"Feb,May,Aug,Nov"
81,"a","a",8460,11,1994,0,NA,NA,""
82,"a","c",9200,10,2009,1,14,2012,"Jan,Apr,Jul,Oct"
