datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,date,year,month,weekday,hour,relative_humidity,australian_atemp,normal_australian_atemp,normal_atemp,normal_avg_atemp,winter,spring,summer,fall,Good,Normal,Bad,agg_climate,winter,spring,summer,fall,Good,Normal,Bad,hour_categor,results_count_predict
16/01/2011 00:00,winter,not holiday,not workingday,Good,10.66,15.15,56,0,16/01/2011,2011,1,1,0,0.56,9.027613352,0.107792708,0.260832138,0.184312423,1,0,0,0,1,0,0,2.184312423,1,0,0,0,1,0,0,0,0
16/01/2011 01:00,winter,not holiday,not workingday,Good,10.66,13.635,56,8.9981,16/01/2011,2011,1,1,1,0.56,15.32628335,0.209464784,0.217360115,0.213412449,1,0,0,0,1,0,0,2.213412449,1,0,0,0,1,0,0,1,0
16/01/2011 02:00,winter,not holiday,not workingday,Good,10.66,14.395,56,6.0032,16/01/2011,2011,1,1,2,0.56,13.22985335,0.175624562,0.239167862,0.207396212,1,0,0,0,1,0,0,2.207396212,1,0,0,0,1,0,0,2,0
16/01/2011 03:00,winter,not holiday,not workingday,Good,9.02,13.635,69,0,16/01/2011,2011,1,1,3,0.69,7.633700878,0.085292406,0.217360115,0.151326261,1,0,0,0,1,0,0,2.151326261,1,0,0,0,1,0,0,3,0
16/01/2011 04:00,winter,not holiday,not workingday,Good,10.66,12.88,56,11.0014,16/01/2011,2011,1,1,4,0.56,16.72859335,0.232100637,0.195695839,0.213898238,1,0,0,0,1,0,0,2.213898238,1,0,0,0,1,0,0,4,0
16/01/2011 05:00,winter,not holiday,not workingday,Normal,10.66,12.88,56,11.0014,16/01/2011,2011,1,1,5,0.56,16.72859335,0.232100637,0.195695839,0.213898238,1,0,0,0,0,1,0,2.213898238,1,0,0,0,0,1,0,5,0
16/01/2011 06:00,winter,not holiday,not workingday,Normal,10.66,12.88,56,11.0014,16/01/2011,2011,1,1,6,0.56,16.72859335,0.232100637,0.195695839,0.213898238,1,0,0,0,0,1,0,2.213898238,1,0,0,0,0,1,0,6,25.61408979
16/01/2011 07:00,winter,not holiday,not workingday,Normal,9.84,10.605,56,19.9995,16/01/2011,2011,1,1,7,0.56,22.08111433,0.318500134,0.130416069,0.224458101,1,0,0,0,0,1,0,2.224458101,1,0,0,0,0,1,0,7,163.4123702
16/01/2011 08:00,winter,not holiday,not workingday,Good,9.02,10.605,55,19.0012,16/01/2011,2011,1,1,8,0.55,20.40422476,0.291432063,0.130416069,0.210924066,1,0,0,0,1,0,0,2.210924066,1,0,0,0,1,0,0,8,293.4363302
16/01/2011 09:00,winter,not holiday,not workingday,Good,9.02,10.605,51,16.9979,16/01/2011,2011,1,1,9,0.51,18.85039587,0.266350418,0.130416069,0.198383243,1,0,0,0,1,0,0,2.198383243,1,0,0,0,1,0,0,9,155.3618903
16/01/2011 10:00,winter,not holiday,not workingday,Good,9.02,10.605,51,19.0012,16/01/2011,2011,1,1,10,0.51,20.25270587,0.288986271,0.130416069,0.20970117,1,0,0,0,1,0,0,2.20970117,1,0,0,0,1,0,0,10,110.1863065
16/01/2011 11:00,winter,not holiday,not workingday,Good,9.84,11.365,44,16.9979,16/01/2011,2011,1,1,11,0.44,19.49968055,0.276831062,0.152223816,0.214527439,1,0,0,0,1,0,0,2.214527439,1,0,0,0,1,0,0,11,135.13019
16/01/2011 12:00,winter,not holiday,not workingday,Good,9.84,10.605,41,19.0012,16/01/2011,2011,1,1,12,0.41,20.7819121,0.297528629,0.130416069,0.213972349,1,0,0,0,1,0,0,2.213972349,1,0,0,0,1,0,0,12,184.8274984
16/01/2011 13:00,winter,not holiday,not workingday,Good,10.66,11.365,35,19.9995,16/01/2011,2011,1,1,13,0.35,22.13940835,0.319441106,0.152223816,0.235832461,1,0,0,0,1,0,0,2.235832461,1,0,0,0,1,0,0,13,179.779137
16/01/2011 14:00,winter,not holiday,not workingday,Good,11.48,13.635,36,16.9979,16/01/2011,2011,1,1,14,0.36,20.98564776,0.300817296,0.217360115,0.259088705,1,0,0,0,1,0,0,2.259088705,1,0,0,0,1,0,0,14,175.0992155
16/01/2011 15:00,winter,not holiday,not workingday,Good,10.66,12.12,38,16.9979,16/01/2011,2011,1,1,15,0.38,20.16512477,0.287572551,0.173888092,0.230730322,1,0,0,0,1,0,0,2.230730322,1,0,0,0,1,0,0,15,178.1699243
16/01/2011 16:00,winter,not holiday,not workingday,Good,9.84,11.365,38,15.0013,16/01/2011,2011,1,1,16,0.38,17.86190365,0.250394342,0.152223816,0.201309079,1,0,0,0,1,0,0,2.201309079,1,0,0,0,1,0,0,16,229.0038792
16/01/2011 17:00,winter,not holiday,not workingday,Good,9.02,10.605,37,16.9979,16/01/2011,2011,1,1,17,0.37,18.32007975,0.257790144,0.130416069,0.194103106,1,0,0,0,1,0,0,2.194103106,1,0,0,0,1,0,0,17,329.6353184
16/01/2011 18:00,winter,not holiday,not workingday,Good,8.2,10.605,40,11.0014,16/01/2011,2011,1,1,18,0.4,13.334389,0.177311959,0.130416069,0.153864014,1,0,0,0,1,0,0,2.153864014,1,0,0,0,1,0,0,18,289.9832765
16/01/2011 19:00,winter,not holiday,not workingday,Good,7.38,9.85,47,8.9981,16/01/2011,2011,1,1,19,0.47,11.27142908,0.144012006,0.108751793,0.126381899,1,0,0,0,1,0,0,2.126381899,1,0,0,0,1,0,0,19,207.5203311
16/01/2011 20:00,winter,not holiday,not workingday,Good,7.38,9.85,47,11.0014,16/01/2011,2011,1,1,20,0.47,12.67373908,0.166647859,0.108751793,0.137699826,1,0,0,0,1,0,0,2.137699826,1,0,0,0,1,0,0,20,128.3512494
16/01/2011 21:00,winter,not holiday,not workingday,Good,7.38,9.85,51,11.0014,16/01/2011,2011,1,1,21,0.51,12.80929304,0.168835948,0.108751793,0.138793871,1,0,0,0,1,0,0,2.138793871,1,0,0,0,1,0,0,21,84.32284703
16/01/2011 22:00,winter,not holiday,not workingday,Normal,8.2,10.605,49,8.9981,16/01/2011,2011,1,1,22,0.49,12.25459603,0.159882122,0.130416069,0.145149095,1,0,0,0,0,1,0,2.145149095,1,0,0,0,0,1,0,22,48.40240334
16/01/2011 23:00,winter,not holiday,not workingday,Normal,8.2,11.365,40,7.0015,16/01/2011,2011,1,1,23,0.4,10.534459,0.132115958,0.152223816,0.142169887,1,0,0,0,0,1,0,2.142169887,1,0,0,0,0,1,0,23,6.800720039
16/02/2011 00:00,winter,not holiday,workingday,Good,9.02,12.88,41,6.0032,16/02/2011,2011,2,4,0,0.41,10.77530864,0.136003712,0.195695839,0.165849776,1,0,0,0,1,0,0,2.165849776,1,0,0,0,1,0,0,0,0
16/02/2011 01:00,winter,not holiday,workingday,Good,8.2,11.365,44,6.0032,16/02/2011,2011,2,4,1,0.44,9.978989901,0.123149669,0.152223816,0.137686743,1,0,0,0,1,0,0,2.137686743,1,0,0,0,1,0,0,1,0
16/02/2011 03:00,winter,not holiday,workingday,Normal,8.2,9.85,47,12.998,16/02/2011,2011,2,4,3,0.47,14.98285558,0.20392123,0.108751793,0.156336512,1,0,0,0,0,1,0,2.156336512,1,0,0,0,0,1,0,3,0
16/02/2011 04:00,winter,not holiday,workingday,Good,8.2,9.85,51,12.998,16/02/2011,2011,2,4,4,0.51,15.12619648,0.206235015,0.108751793,0.157493404,1,0,0,0,1,0,0,2.157493404,1,0,0,0,1,0,0,4,0
16/02/2011 05:00,winter,not holiday,workingday,Good,8.2,9.85,47,12.998,16/02/2011,2011,2,4,5,0.47,14.98285558,0.20392123,0.108751793,0.156336512,1,0,0,0,1,0,0,2.156336512,1,0,0,0,1,0,0,5,0
16/02/2011 06:00,winter,not holiday,workingday,Good,8.2,9.85,55,15.0013,16/02/2011,2011,2,4,6,0.55,16.67184738,0.231184653,0.108751793,0.169968223,1,0,0,0,1,0,0,2.169968223,1,0,0,0,1,0,0,6,13.54220029
16/02/2011 07:00,winter,not holiday,workingday,Normal,8.2,9.85,55,15.0013,16/02/2011,2011,2,4,7,0.55,16.67184738,0.231184653,0.108751793,0.169968223,1,0,0,0,0,1,0,2.169968223,1,0,0,0,0,1,0,7,148.4386491
16/02/2011 08:00,winter,not holiday,workingday,Normal,9.02,11.365,55,11.0014,16/02/2011,2011,2,4,8,0.55,14.80436476,0.201040061,0.152223816,0.176631939,1,0,0,0,0,1,0,2.176631939,1,0,0,0,0,1,0,8,284.012915
16/02/2011 09:00,winter,not holiday,workingday,Good,9.84,10.605,52,19.0012,16/02/2011,2011,2,4,9,0.52,21.22219974,0.304635678,0.130416069,0.217525874,1,0,0,0,1,0,0,2.217525874,1,0,0,0,1,0,0,9,160.6222509
16/02/2011 10:00,winter,not holiday,workingday,Good,10.66,11.365,41,26.0027,16/02/2011,2011,2,4,10,0.41,26.5953212,0.391367705,0.152223816,0.271795761,1,0,0,0,1,0,0,2.271795761,1,0,0,0,1,0,0,10,127.2497889
16/02/2011 11:00,winter,not holiday,workingday,Good,13.94,15.15,34,19.9995,16/02/2011,2011,2,4,11,0.34,25.72271728,0.377282279,0.260832138,0.319057208,1,0,0,0,1,0,0,2.319057208,1,0,0,0,1,0,0,11,163.8547835
16/02/2011 12:00,winter,not holiday,workingday,Good,15.58,19.695,32,22.0028,16/02/2011,2011,2,4,12,0.32,28.84710696,0.427715653,0.391248207,0.40948193,1,0,0,0,1,0,0,2.40948193,1,0,0,0,1,0,0,12,238.5531814
16/02/2011 13:00,winter,not holiday,workingday,Good,17.22,21.21,30,23.9994,16/02/2011,2011,2,4,13,0.3,31.9603244,0.477968688,0.43472023,0.456344459,1,0,0,0,1,0,0,2.456344459,1,0,0,0,1,0,0,13,240.3754392
16/02/2011 14:00,winter,not holiday,workingday,Good,18.86,22.725,28,27.9993,16/02/2011,2011,2,4,14,0.28,36.46726258,0.550718929,0.478192253,0.514455591,1,0,0,0,1,0,0,2.514455591,1,0,0,0,1,0,0,14,245.2735786
16/02/2011 15:00,winter,not holiday,workingday,Good,18.86,22.725,28,27.9993,16/02/2011,2011,2,4,15,0.28,36.46726258,0.550718929,0.478192253,0.514455591,1,0,0,0,1,0,0,2.514455591,1,0,0,0,1,0,0,15,256.1371205
16/02/2011 16:00,winter,not holiday,workingday,Good,18.86,22.725,31,26.0027,16/02/2011,2011,2,4,16,0.31,35.28475893,0.531631153,0.478192253,0.504911703,1,0,0,0,1,0,0,2.504911703,1,0,0,0,1,0,0,16,312.4333368
16/02/2011 17:00,winter,not holiday,workingday,Good,18.86,22.725,28,19.0012,16/02/2011,2011,2,4,17,0.28,30.16859258,0.449046853,0.478192253,0.463619553,1,0,0,0,1,0,0,2.463619553,1,0,0,0,1,0,0,17,403.6979556
16/02/2011 18:00,winter,not holiday,workingday,Good,16.4,20.455,40,15.0013,16/02/2011,2011,2,4,18,0.4,25.3575309,0.371387501,0.413055954,0.392221728,1,0,0,0,1,0,0,2.392221728,1,0,0,0,1,0,0,18,355.4835497
16/02/2011 19:00,winter,not holiday,workingday,Good,13.94,15.91,53,15.0013,16/02/2011,2011,2,4,19,0.53,23.22039724,0.336890248,0.282639885,0.309765066,1,0,0,0,1,0,0,2.309765066,1,0,0,0,1,0,0,19,257.9136972
16/02/2011 20:00,winter,not holiday,workingday,Good,15.58,19.695,43,12.998,16/02/2011,2011,2,4,20,0.43,23.18489123,0.336317116,0.391248207,0.363782661,1,0,0,0,1,0,0,2.363782661,1,0,0,0,1,0,0,20,190.4784079
16/02/2011 21:00,winter,not holiday,workingday,Good,14.76,17.425,46,12.998,16/02/2011,2011,2,4,21,0.46,22.40225542,0.32368394,0.326111908,0.324897924,1,0,0,0,1,0,0,2.324897924,1,0,0,0,1,0,0,21,135.4639078
16/02/2011 22:00,winter,not holiday,workingday,Good,13.94,16.665,53,12.998,16/02/2011,2011,2,4,22,0.53,21.81808724,0.314254395,0.304304161,0.309279278,1,0,0,0,1,0,0,2.309279278,1,0,0,0,1,0,0,22,93.50508374
16/02/2011 23:00,winter,not holiday,workingday,Good,15.58,19.695,40,15.0013,16/02/2011,2011,2,4,23,0.4,24.4123437,0.356130448,0.391248207,0.373689327,1,0,0,0,1,0,0,2.373689327,1,0,0,0,1,0,0,23,70.42184784
16/03/2011 00:00,winter,not holiday,workingday,Bad,12.3,14.395,93,16.9979,16/03/2011,2011,3,4,0,0.93,24.58076466,0.358849071,0.239167862,0.299008467,1,0,0,0,0,0,1,2.299008467,1,0,0,0,0,0,1,0,19.05191255
16/03/2011 01:00,winter,not holiday,workingday,Bad,12.3,13.635,100,19.9995,16/03/2011,2011,3,4,1,1,27.01173028,0.398089311,0.217360115,0.307724713,1,0,0,0,0,0,1,2.307724713,1,0,0,0,0,0,1,1,2.935153559
16/03/2011 03:00,winter,not holiday,workingday,Normal,11.48,13.635,100,15.0013,16/03/2011,2011,3,4,3,1,22.44512599,0.324375949,0.217360115,0.270868032,1,0,0,0,0,1,0,2.270868032,1,0,0,0,0,1,0,3,0
16/03/2011 04:00,winter,not holiday,workingday,Normal,12.3,15.15,93,11.0014,16/03/2011,2011,3,4,4,0.93,20.38321466,0.291092922,0.260832138,0.27596253,1,0,0,0,0,1,0,2.27596253,1,0,0,0,0,1,0,4,0
16/03/2011 05:00,winter,not holiday,workingday,Normal,12.3,15.91,93,7.0015,16/03/2011,2011,3,4,5,0.93,17.58328466,0.245896921,0.282639885,0.264268403,1,0,0,0,0,1,0,2.264268403,1,0,0,0,0,1,0,5,0
16/03/2011 06:00,winter,not holiday,workingday,Normal,12.3,15.91,93,7.0015,16/03/2011,2011,3,4,6,0.93,17.58328466,0.245896921,0.282639885,0.264268403,1,0,0,0,0,1,0,2.264268403,1,0,0,0,0,1,0,6,39.45572096
16/03/2011 07:00,winter,not holiday,workingday,Normal,12.3,14.395,93,12.998,16/03/2011,2011,3,4,7,0.93,21.78083466,0.31365307,0.239167862,0.276410466,1,0,0,0,0,1,0,2.276410466,1,0,0,0,0,1,0,7,177.688787
16/03/2011 08:00,winter,not holiday,workingday,Normal,13.12,15.91,93,0,16/03/2011,2011,3,4,8,0.93,13.74391315,0.183922429,0.282639885,0.233281157,1,0,0,0,0,1,0,2.233281157,1,0,0,0,0,1,0,8,299.5800188
16/03/2011 09:00,winter,not holiday,workingday,Normal,13.12,16.665,93,8.9981,16/03/2011,2011,3,4,9,0.93,20.04258315,0.285594505,0.304304161,0.294949333,1,0,0,0,0,1,0,2.294949333,1,0,0,0,0,1,0,9,181.898079
16/03/2011 10:00,winter,not holiday,workingday,Normal,14.76,17.425,81,11.0014,16/03/2011,2011,3,4,10,0.81,22.94002541,0.332364533,0.326111908,0.32923822,1,0,0,0,0,1,0,2.32923822,1,0,0,0,0,1,0,10,143.0348741
16/03/2011 11:00,winter,not holiday,workingday,Normal,14.76,17.425,81,8.9981,16/03/2011,2011,3,4,11,0.81,21.53771541,0.30972868,0.326111908,0.317920294,1,0,0,0,0,1,0,2.317920294,1,0,0,0,0,1,0,11,163.5423615
16/03/2011 12:00,winter,not holiday,workingday,Normal,16.4,20.455,71,7.0015,16/03/2011,2011,3,4,12,0.71,21.66155209,0.311727631,0.413055954,0.362391792,1,0,0,0,0,1,0,2.362391792,1,0,0,0,0,1,0,12,225.6128958
16/03/2011 13:00,winter,not holiday,workingday,Normal,16.4,20.455,76,8.9981,16/03/2011,2011,3,4,13,0.76,23.3662497,0.339244574,0.413055954,0.376150264,1,0,0,0,0,1,0,2.376150264,1,0,0,0,0,1,0,13,218.338218
16/03/2011 14:00,winter,not holiday,workingday,Normal,16.4,20.455,76,15.0013,16/03/2011,2011,3,4,14,0.76,27.5684897,0.407076428,0.413055954,0.410066191,1,0,0,0,0,1,0,2.410066191,1,0,0,0,0,1,0,14,216.5875584
16/03/2011 15:00,winter,not holiday,workingday,Normal,16.4,20.455,76,16.9979,16/03/2011,2011,3,4,15,0.76,28.9661097,0.429636576,0.413055954,0.421346265,1,0,0,0,0,1,0,2.421346265,1,0,0,0,0,1,0,15,230.5508444
16/03/2011 16:00,winter,not holiday,workingday,Normal,16.4,20.455,76,11.0014,16/03/2011,2011,3,4,16,0.76,24.7685597,0.361880427,0.413055954,0.38746819,1,0,0,0,0,1,0,2.38746819,1,0,0,0,0,1,0,16,280.1600698
16/03/2011 17:00,winter,not holiday,workingday,Normal,18.04,21.97,54,19.9995,16/03/2011,2011,3,4,17,0.54,31.71810168,0.474058769,0.456527977,0.465293373,1,0,0,0,0,1,0,2.465293373,1,0,0,0,0,1,0,17,404.1579184
16/03/2011 18:00,winter,not holiday,workingday,Normal,18.04,21.97,54,15.0013,16/03/2011,2011,3,4,18,0.54,28.21936168,0.417582694,0.456527977,0.437055336,1,0,0,0,0,1,0,2.437055336,1,0,0,0,0,1,0,18,367.8037449
16/03/2011 19:00,winter,not holiday,workingday,Normal,18.04,21.97,51,22.0028,16/03/2011,2011,3,4,19,0.51,32.91605325,0.493395903,0.456527977,0.47496194,1,0,0,0,0,1,0,2.47496194,1,0,0,0,0,1,0,19,303.3095024
